Bengaluru|Mon,Wed,Fri,Sat|MI 423|0945|1650
Bengaluru|Mon,Tue,Wed,Thu,Fri,Sat,Sun|SQ 503|2310|0610+1
Chennai|Fri,Sat,Sun|MI 435|1030|1720
Chennai|Mon,Tue,Wed,Thu,Fri,Sat,Sun|SQ 529|2315|0605+1
Hyderabad|Sat,Sun|MI 471|0045|0750
Hyderabad|Mon,Tue,Wed,Thu,Fri,Sat,Sun|MI 473|2300|0610+1
Kolkata|Tue,Thu,Sun|MI 487|2350|0640+1
Kolkata|Mon,Wed,Fri,Sat|SQ 517|2350|0640+1
